Age_client,Age_car,Driver2,Payment_annual,Client_seniority
72,13,0,1,8.0246406571
71,0,0,1,18.436687201
78,19,0,1,17.505817933
68,5,0,0,9.0102669405
67,0,0,1,17.464750171
82,7,0,1,5.7385352498
79,10,0,1,7.0773442847
70,13,0,0,6.0369609856
73,0,0,1,14.570841889
73,26,0,1,8.4709103354
63,4,0,1,7.3237508556
71,14,0,1,5.9657768652
63,3,0,1,5.8453114305
64,0,0,0,14.902121834
61,3,0,1,6.3846680356
61,0,0,1,11.159479808
60,0,0,1,15.660506502
59,3,0,1,5.5797399042
40,4,0,0,7.1731690623
60,8,0,1,7.0390143737
61,8,0,0,5.0458590007
62,9,1,1,7.8001368925
58,7,0,0,8.2984257358
59,10,0,1,7.4442162902
57,3,0,1,30.595482546
58,9,0,1,18.74880219
55,13,1,1,7.6084873374
57,8,0,1,6.135523614
74,0,0,1,18.201232033
66,10,0,1,8.4106776181
70,9,0,1,13.023956194
69,7,1,1,8.3039014374
67,7,0,1,13.456536619
67,6,0,1,22.428473648
56,0,0,1,16.5229295
55,0,1,1,17.963039014
55,8,0,1,9.8535249829
53,7,0,1,7.6249144422
56,11,1,0,7.8932238193
49,2,0,0,6.3874058864
54,7,0,1,5.568788501
53,6,0,1,7.4223134839
42,12,0,1,7.9151266256
43,7,0,0,6.2559890486
49,17,1,1,7.1540041068
42,4,0,1,5.9876796715
34,5,0,1,5.8809034908
43,11,0,1,6.3326488706
32,7,0,0,8.0848733744
26,3,0,0,5.6947296372
37,8,0,0,7.5427789185
59,9,0,1,7.8439425051
58,0,0,0,14.904859685
56,11,1,0,11.175906913
38,19,0,1,22.464065708
41,0,0,0,9.6728268309
45,8,0,0,6.6858316222
38,5,0,0,6.9295003422
54,12,0,0,8.0985626283
50,14,0,1,7.9972621492
51,0,0,1,9.4182067077
43,0,0,1,14.431211499
53,3,0,0,6.5160848734
54,14,0,1,13.048596851
47,17,1,0,5.620807666
49,10,0,0,7.4798083504
42,5,0,0,6.264202601
43,7,0,0,11.192334018
42,6,0,0,6.1190965092
44,8,0,1,6.5763175907
53,14,0,1,6.1875427789
53,6,1,1,7.2498288843
49,16,0,1,5.3880903491
45,20,1,1,11.077344285
43,15,0,0,8.3531827515
53,13,0,1,8.0465434634
53,0,0,1,10.475017112
49,4,0,1,6.2559890486
50,12,0,0,6.2067077344
44,0,0,0,12.254620123
40,0,0,1,9.2484599589
32,16,0,0,7.9780971937
59,0,1,0,8.6132785763
77,0,0,0,21.880903491
81,13,0,1,8.0109514031
81,0,0,1,18.209445585
71,3,0,1,5.2019164956
72,7,0,0,5.9904175222
77,22,0,0,10.058863792
70,7,0,1,6.5325119781
67,0,0,1,11.742642026
66,0,1,1,16.829568789
63,4,0,0,7.3347022587
64,12,0,1,15.06091718
64,0,0,1,22.650239562
63,0,0,1,17.084188912
60,7,1,1,5.8425735797
62,9,0,1,5.5359342916
57,13,0,1,16.654346338
62,0,0,1,30.663928816
61,5,0,0,8.1122518823
58,8,1,1,17.80698152
54,17,1,1,10.160164271
57,14,0,0,9.7741273101
54,0,0,1,9.9137577002
54,17,0,1,5.1334702259
54,16,0,1,15.110198494
53,11,0,1,23.321013005
50,0,0,1,16.769336071
45,8,0,0,7.5509924709
47,0,1,1,11.937029432
43,10,0,1,7.9890485969
38,6,1,0,8.1067761807
79,0,0,1,15.54825462
83,0,0,1,22.198494182
77,10,0,1,10.718685832
72,2,0,1,6.8774811773
70,0,0,1,20.150581793
76,0,0,1,21.193702943
70,8,0,1,9.1279945243
73,21,0,1,7.4934976044
74,17,0,1,7.1457905544
74,12,0,1,5.9110198494
67,19,0,1,7.099247091
66,0,0,1,8.6516084873
66,16,0,1,6.6283367556
63,19,0,1,12.052019165
65,9,0,0,9.0732375086
60,9,0,1,5.7522245038
59,10,0,1,8.2902121834
60,9,0,1,6.6201232033
60,26,1,1,8.3093771389
55,14,1,1,7.947980835
57,12,0,1,6.083504449
56,9,1,0,9.8316221766
51,23,0,1,6.5790554415
52,12,0,0,21.163586585
52,3,0,1,18.899383984
45,3,0,1,6.1382614648
41,6,0,0,6.9541409993
43,10,0,1,13.125256674
59,13,1,1,12.24366872
79,0,1,1,15.058179329
82,0,0,1,17.349760438
74,22,0,1,22.940451745
85,0,0,1,17.604380561
71,1,0,1,6.4585900068
85,24,0,1,6.4585900068
64,7,1,1,6.2751540041
62,6,0,1,5.9603011636
61,0,0,1,11.326488706
59,7,0,1,6.0232717317
60,0,0,1,21.535934292
58,8,0,1,18.913073238
64,0,0,1,16.511978097
52,6,0,0,6.5270362765
50,0,1,0,15.348391513
43,0,0,1,17.993155373
38,6,0,0,9.4893908282
71,0,0,1,9.3689253936
84,0,0,0,17.119780972
69,4,0,1,11.085557837
65,0,0,1,16.358658453
67,10,0,0,15.115674196
65,22,0,1,8.128678987
59,11,0,1,7.9151266256
67,9,0,1,7.3292265572
57,4,1,0,7.923340178
56,9,0,1,21.631759069
59,26,0,1,7.4195756331
58,14,0,1,6.3107460643
54,11,0,0,5.5167693361
52,5,1,1,7.4360027379
82,12,0,1,6.5735797399
84,16,0,1,6.1683778234
77,0,0,1,22.083504449
81,0,1,1,23.600273785
82,13,0,1,23.394934976
74,9,0,1,14.891170431
85,10,0,0,15.367556468
74,13,0,1,7.3155373032
76,0,0,1,14.978781656
72,10,0,1,6.3983572895
74,9,0,1,7.5482546201
83,0,0,1,19.997262149
71,26,0,1,40.503764545
83,2,0,1,13.681040383
70,26,0,1,12.618754278
59,7,0,1,5.2895277207
55,10,0,1,9.0266940452
54,14,0,1,8.0054757016
52,7,0,0,14.097193703
44,8,0,0,5.8179329227
45,0,0,0,16.399726215
48,7,0,1,6.0533880903
37,9,0,1,10.047912389
41,3,0,1,11.633127995
72,3,0,1,6.3299110198
56,6,0,1,5.6344969199
83,0,0,1,21.869952088
73,12,0,1,5.8726899384
82,0,0,1,15.143052704
67,0,0,1,19.65229295
68,0,0,1,16.689938398
60,0,0,1,12.930869268
58,10,1,1,6.1793292266
54,10,0,1,9.1882272416
53,7,0,1,7.2607802875
52,8,0,1,5.7412731006
44,4,0,1,6.0205338809
32,7,0,1,6.1793292266
83,0,0,1,17.026694045
78,0,0,1,12.547570157
85,0,0,1,18.357289528
82,0,0,1,16.580424367
74,11,1,1,16.432580424
78,13,0,1,9.453798768
79,0,1,1,19.244353183
81,0,0,1,16.336755647
85,12,0,1,9.3880903491
78,3,0,1,22.767967146
79,0,0,1,15.961670089
75,2,0,0,5.0787132101
80,7,0,1,7.5865845311
78,0,0,1,18.518822724
76,0,0,1,12.358658453
73,6,0,1,5.0075290897
72,0,1,1,19.170431211
76,14,0,1,12
71,7,0,1,7.8631074606
69,0,0,1,17.590691307
71,12,1,1,11.82477755
72,0,0,1,13.94661191
60,0,1,1,23.170431211
68,10,0,1,7.7070499658
67,14,1,1,14.559890486
70,13,0,0,10.828199863
66,16,0,1,11.501711157
66,0,0,1,15.162217659
67,0,0,1,11.299110198
67,7,0,1,9.1115674196
76,10,0,1,8.3039014374
64,5,0,1,8.9308692676
61,0,0,1,20.273785079
65,11,0,1,8.6132785763
64,18,0,1,13.412731006
63,13,0,1,11.808350445
64,2,0,0,16.479123888
63,16,0,1,6.9815195072
57,0,0,1,22.658453114
62,10,1,1,8.2929500342
60,0,0,1,18.034223135
63,12,0,1,5.4318959617
60,0,0,1,13.653661875
61,8,0,1,5.8069815195
57,15,0,1,16.501026694
55,0,1,1,12.966461328
54,15,1,1,5.826146475
58,0,0,1,11.849418207
58,14,1,1,9.9411362081
56,10,1,1,13.73853525
53,19,1,1,6.9377138946
51,6,0,1,6.6420260096
81,17,0,1,15.646817248
67,14,1,1,17.768651608
48,4,1,1,5.3880903491
52,21,0,1,7.4661190965
47,7,0,1,5.4236824093
39,0,1,1,9.7905544148
45,10,0,0,8.4325804244
62,8,0,0,5.8234086242
46,4,0,1,5.749486653
51,5,0,1,7.8302532512
44,1,0,0,6.6036960986
50,18,0,1,5.5523613963
41,5,0,1,5.7084188912
81,26,0,1,7.4168377823
45,14,0,1,5.6618754278
49,9,1,0,6.3381245722
44,2,1,1,5.9219712526
59,0,0,1,11.767282683
51,24,0,1,22.417522245
47,10,0,1,5.5934291581
48,13,0,1,11.310061602
44,5,0,1,5.2073921971
34,17,0,1,6.3326488706
39,7,0,1,13.46201232
43,9,0,1,8.0492813142
44,25,0,1,6.3244353183
38,4,0,1,7.4332648871
85,0,0,1,22.795345654
82,15,0,1,16.443531828
79,17,0,1,16.681724846
71,10,0,1,7.3401779603
76,11,1,1,22.080766598
71,9,0,0,7.9507186858
72,0,0,1,10.836413415
67,3,0,1,5.6783025325
72,6,1,0,20.547570157
65,8,0,1,5.8480492813
61,0,0,0,16.158795346
58,0,0,1,12.824093087
64,0,0,0,12.517453799
63,13,0,1,7.1731690623
58,9,1,1,14.332648871
56,11,0,1,8.0574948665
59,6,0,1,6.4996577687
56,5,0,1,5.4455852156
54,21,1,1,5.9493497604
85,0,0,1,15.099247091
76,10,0,1,7.7700205339
58,10,0,1,6.2313483915
44,21,1,0,14.047912389
67,12,0,1,5.4674880219
70,13,1,1,8.2491444216
48,0,0,1,16.407939767
44,19,0,1,6.636550308
46,0,0,1,15.526351814
76,0,0,1,39.89596167
48,12,0,0,14.140999316
80,0,0,1,14.880219028
80,4,0,1,6.0479123888
80,0,0,1,16.303901437
75,7,0,1,6.0232717317
80,0,0,1,22.54072553
68,9,0,1,10.075290897
73,0,0,1,20.777549624
67,0,0,1,18.231348392
68,18,0,1,7.8357289528
67,10,0,1,13.9137577
68,8,1,1,7.6249144422
64,6,0,0,7.8056125941
63,14,0,1,7.2607802875
61,0,0,1,18.425735797
61,0,0,1,35.299110198
65,0,0,1,14.108145106
63,0,0,1,13.240246407
63,10,0,0,18.308008214
63,24,0,1,16.703627652
60,0,0,1,13.037645448
62,23,0,1,6.0205338809
61,19,0,1,5.4346338125
62,10,0,1,19.006160164
66,15,0,1,5.87816564
57,0,0,1,12.251882272
60,21,0,1,19.572895277
55,16,0,1,17.002053388
51,3,0,1,6.5352498289
55,6,0,0,10.696783025
54,11,1,0,7.6303901437
56,7,0,1,14.455852156
54,17,1,1,17.639972621
53,7,1,1,5.234770705
47,0,0,1,17.01026694
54,0,0,0,11.830253251
47,13,1,0,7.2334017796
47,15,0,1,7.665982204
46,9,0,1,7.3867214237
46,9,0,1,6.1765913758
39,0,0,1,14.858316222
42,11,0,1,12.6954141
37,11,0,1,8.1040383299
37,0,0,1,10.811772758
81,0,0,1,15.329226557
78,0,0,1,13.492128679
80,0,0,1,16.005475702
76,0,0,1,15.805612594
80,6,0,1,6.1875427789
82,18,0,1,5.8042436687
78,12,0,0,12.97467488
77,8,0,1,6.6447638604
85,17,0,1,12.465434634
73,12,0,1,7.9644079398
76,0,0,1,17.045859001
74,8,0,1,7.7015742642
77,23,0,1,22.277891855
74,0,0,1,19.917864476
71,16,1,1,28.744695414
72,14,0,1,6.9541409993
69,0,0,1,19.167693361
59,13,0,1,5.2511978097
68,0,0,1,19.586584531
67,10,0,1,5.1663244353
59,0,0,1,17.67008898
61,18,0,1,7.5920602327
60,9,0,0,7.6358658453
58,4,0,1,7.6249144422
59,13,0,1,7.8548939083
59,18,0,1,6.8254620123
60,17,0,1,14.338124572
60,11,1,1,8.2902121834
58,8,0,1,8.7967145791
