Age_client,Age_car,Driver2,Payment_annual,Client_seniority,Retention
39,4,0,0,6.4887063655,0
74,10,0,1,6.5489390828,1
66,14,0,1,12.262833676,1
62,6,1,1,9.9356605065,0
62,10,0,0,6.9815195072,1
60,23,0,1,7.8247775496,1
61,20,1,0,5.4893908282,1
54,9,1,1,10.913073238,1
53,0,0,0,12.167008898,0
40,10,0,0,5.311430527,1
76,9,0,1,10.795345654,1
65,4,0,1,5.106091718,0
63,14,0,1,6.598220397,0
66,0,0,0,13.911019849,1
65,13,0,1,6.9158110883,1
66,4,1,1,6.1163586585,0
65,8,0,0,6.417522245,1
65,10,0,1,6.0232717317,1
60,8,0,1,15.893223819,0
58,7,0,1,6.1464750171,0
62,8,0,1,6.8856947296,1
62,2,0,0,5.4647501711,1
54,20,0,0,6.9924709103,1
55,15,0,1,7.4579055441,1
53,7,0,0,5.9685147159,1
46,3,0,1,6.8090349076,0
73,10,0,0,8.6598220397,1
71,13,0,1,6.8993839836,1
76,10,0,1,8.4955509925,1
36,9,0,1,9.9055441478,1
72,11,0,1,7.1266255989,1
45,0,0,0,9.5441478439,0
48,3,1,1,5.5879534565,1
43,0,0,1,12.862422998,0
39,6,0,1,6.4668035592,1
41,5,0,0,6.1026694045,1
82,0,0,1,15.378507871,1
78,0,0,1,17.46201232,1
78,0,0,1,17.582477755,0
76,6,0,1,7.6878850103,1
80,13,0,1,7.6550308008,1
85,20,0,1,17.212867899,1
73,9,0,1,12.673511294,0
73,0,0,0,15.816563997,0
72,0,0,1,20.97467488,1
75,20,0,1,7.5537303217,1
74,0,0,1,12.227241615,1
74,0,0,0,11.745379877,1
69,0,0,1,31.811088296,0
69,10,1,1,7.1950718686,0
74,16,0,1,17.25119781,1
68,0,1,1,18.740588638,1
71,1,0,1,8.9199178645,1
67,22,0,1,28.837782341,1
70,15,0,1,6.392881588,1
71,28,0,0,11.540041068,1
70,6,0,1,5.1526351814,1
67,12,0,0,10.406570842,1
69,0,0,1,18.595482546,1
65,0,0,1,11.534565366,1
59,0,0,0,15.945242984,1
60,9,0,1,10.962354552,1
